Name,Province,Constituency,Party,Oath Taking Date
Mr. Abdul Latif,Khyber Pukhtunkhwa,NA-1(Chitral Upper-cum-Chitral Lower),SIC,2024-02-29
Mr. Amjad Ali Khan,Khyber Pukhtunkhwa,NA-2(Swat-I),SIC,2024-02-29
Mr. Saleem Rehman,Khyber Pukhtunkhwa,NA-3(Swat-II),SIC,2024-02-29
Mr. Sohail Sultan,Khyber Pukhtunkhwa,NA-4(Swat-III),SIC,2024-02-29
Sahibzada Sibghatullah,Khyber Pukhtunkhwa,NA-5(Upper Dir),SIC,2024-02-29
Mr. Muhammad Bashir Khan,Khyber Pukhtunkhwa,NA-6(Lower Dir-I),SIC,2024-02-29
Mr. Mehboob Shah,Khyber Pukhtunkhwa,NA-7(Lower Dir-II),SIC,2024-02-29
Mr. Mubarak Zeb,Khyber Pukhtunkhwa,NA-8(Bajaur),IND,2024-05-13
Mr. Junaid Akbar,Khyber Pukhtunkhwa,NA-9(Malakand),SIC,2024-02-29
Mr.  Gohar Ali Khan,Khyber Pukhtunkhwa,NA-10(Buner),IND,2024-02-29
Mr. Amir Muqam,Khyber Pukhtunkhwa,NA-11(Shangla),PML (N),2024-02-29
Mr. Muhammad Idrees,Khyber Pukhtunkhwa,NA-12(Kohistan-cum-Lower Kohistan-cum-Kolai Pallas Kohistan),PML (N),2024-02-29
Mr. Muhammad Nawaz Khan,Khyber Pukhtunkhwa,NA-13(Battagram),SIC,2024-02-29
Sardar Muhammad Yousaf Zaman,Khyber Pukhtunkhwa,NA-14(Mansehra-I),PML (N),2024-02-29
Mr. Shahzada Muhammad Gushtasap Khan,Khyber Pukhtunkhwa,NA-15(Mansehra-cum-Torghar),SIC,2024-03-01
Mr. Ali Asghar Khan,Khyber Pukhtunkhwa,NA-16(Abbottabad-I),IND,2024-02-29
Mr. Ali Khan Jadoon,Khyber Pukhtunkhwa,NA-17(Abbottabad-II),SIC,2024-02-29
Mr. Omar Ayub Khan,Khyber Pukhtunkhwa,NA-18(Haripur),IND,2024-02-29
Mr. Asad Qaiser,Khyber Pukhtunkhwa,NA-19(Swabi-I),SIC,2024-02-29
Mr. Shahram Khan,Khyber Pukhtunkhwa,NA-20(Swabi-II),SIC,2024-02-29
Mr. Mujahid Ali,Khyber Pukhtunkhwa,NA-21(Mardan-I),SIC,2024-02-29
Mr. Muhammad Atif,Khyber Pukhtunkhwa,NA-22(Mardan-II),SIC,2024-02-29
Mr.  Ali Muhammad Khan,Khyber Pukhtunkhwa,NA-23(Mardan-III),SIC,2024-02-29
Malik Anwar Taj,Khyber Pukhtunkhwa,NA-24(Charsadda-I),SIC,2024-02-29
Mr. Fazal Muhammad Khan,Khyber Pukhtunkhwa,NA-25(Charsadda-II),SIC,2024-02-29
Mr. Sajid Khan,Khyber Pukhtunkhwa,NA-26(Mohmand),SIC,2024-02-29
Mr. Muhammad Iqbal Khan,Khyber Pukhtunkhwa,NA-27(Khyber),SIC,2024-02-29
Mr. Noor Alam Khan,Khyber Pukhtunkhwa,NA-28(Peshawar-I),JUI (P),2024-02-29
Mr. Arbab Amir Ayub,Khyber Pukhtunkhwa,NA-29(Peshawar-II),SIC,2024-02-29
Ms.  Shandana Gulzar Khan,Khyber Pukhtunkhwa,NA-30(Peshawar-III),SIC,2024-02-29
Mr. Sher Ali Arbab,Khyber Pukhtunkhwa,NA-31(Peshawar-IV),SIC,2024-02-29
Mr.  Asif Khan,Khyber Pukhtunkhwa,NA-32(Peshawar-V),SIC,2024-02-29
Syed Shah Ahad Ali Shah,Khyber Pukhtunkhwa,NA-33(Nowshera-I),SIC,2024-02-29
Mr.  Zulfiqar Ali,Khyber Pukhtunkhwa,NA-34(Nowshera-II),SIC,2024-02-29
Mr.  Shehryar Khan Afridi,Khyber Pukhtunkhwa,NA-35(Kohat),SIC,2024-02-29
Mr.  Yousaf Khan,Khyber Pukhtunkhwa,NA-36(Hangu-cum-Orakzai),SIC,2024-02-29
Mr.  Hameed Hussain,Khyber Pukhtunkhwa,NA-37(Kurram),MWMP,2024-02-29
Mr.  Shahid Ahmed,Khyber Pukhtunkhwa,NA-38(Karak),SIC,2024-02-29
Mr. Nasim Ali shah,Khyber Pukhtunkhwa,NA-39(Bannu),SIC,2024-02-29
Mr.  Misbah Uddin,Khyber Pukhtunkhwa,NA-40(North Waziristan),JUI (P),2024-02-29
Mr.  Sher Afzal Khan,Khyber Pukhtunkhwa,NA-41(Laki Marwat),SIC,2024-02-29
Mr.  Zubair Khan,Khyber Pukhtunkhwa,NA-42(South Waziristan Upper-cum-South Waziristan Lower),SIC,2024-02-29
Mr. Dawar Khan Kundi,Khyber Pukhtunkhwa,NA-43(Tank-cum-Dera Ismail Khan),SIC,2024-02-29
Mr. Faisal Amin Khan,Khyber Pukhtunkhwa,NA-44(Dera Ismail Khan-I),SIC,2024-04-26
Mr.  Fateh Ullah Khan,Khyber Pukhtunkhwa,NA-45(Dera Ismail Khan-II),PPPP,2024-02-29
Mr.  Anjum Aqeel Khan,Federal,NA-46(ICT-I),PML (N),2024-02-29
Mr. Tariq Fazal Chudhary,Federal,NA-47(ICT-II),PML (N),2024-02-29
Raja Khurram Shahzad Nawaz,Federal,NA-48(ICT-II),PML (N),2024-02-29
Sheikh Aftab Ahmad,Punjab,NA-49(Attock-I),PML (N),2024-02-29
Malik Sohail Khan,Punjab,NA-50(Attock-II),PML (N),2024-02-29
Raja Osama Sarwar,Punjab,NA-51(Rawalpindi-cum-Murree),PML (N),2024-02-29
Raja Pervez Ashraf,Punjab,NA-52(Rawalpindi-I),PPPP,2024-02-29
Raja Qamar Ul Islam,Punjab,NA-53(Rawalpindi-II),PML (N),2024-02-29
Mr. Aqeel Malik,Punjab,NA-54(Rawalpindi-III),PML (N),2024-02-29
Mr.  Ibrar Ahmed,Punjab,NA-55(Rawalpindi-IV),PML (N),2024-02-29
Mr.  Muhammad Hanif Abbasi,Punjab,NA-56(Rawalpindi-V),PML (N),2024-02-29
Mr. Danyal Chaudhary,Punjab,NA-57(Rawalpindi-VI),PML (N),2024-02-29
Maj. (R) Tahir Iqbal,Punjab,NA-58(Chakwal),PML (N),2024-02-29
Sardar Ghulam Abbas,Punjab,NA-59(Talagang-cum-Chakwal),PML (N),2024-02-29
Mr.  Bilal Azhar Kayani,Punjab,NA-60(Jhelum-I),PML (N),2024-02-29
Chaudhary Farrukh Altaf,Punjab,NA-61(Jhelum-II),PML (N),2024-02-29
Mr.  Mohammad Ilyas Choudhary,Punjab,NA-62(Gujrat-I),PML,2024-02-29
Mr. Hussain Ellahi,Punjab,NA-63(Gujrat-II),PML,2024-02-29
Chaudhry Salik Hussain,Punjab,NA-64(Gujrat-III),PML,2024-02-29
Choudhary Naseer Ahmed Abbas,Punjab,NA-65(Gujrat-IV),PML (N),2024-02-29
Mohammad Ahmed Chattha,Punjab,NA-66(Wazirabad),SIC,2024-02-29
Ms. Aniqa Mehdi,Punjab,NA-67(Hafizabad),SIC,2024-02-29
Haji Imtiaz Ahmad Choudhry,Punjab,NA-68(Mandi Bahauddin-I),SIC,2024-02-29
Mr. Nasir Iqbal Bosal,Punjab,NA-69(Mandi Bahauddin-II),PML (N),2024-02-29
Chaudhry Armghan Subhani,Punjab,NA-70(Sialkot-I),PML (N),2024-02-29
