Constituency,Name,Date
NA-3,saleem rehman,2024-09-06
NA-4,sohail sultan,2024-09-06
NA-5,sahibzada sibghatullah,2024-09-06
NA-6,muhammad bashir khan,2024-09-06
NA-7,mehboob shah,2024-09-06
NA-9,junaid akbar,2024-09-06
NA-10,gohar ali khan,2024-09-06
NA-12,muhammad idrees,2024-09-06
NA-13,muhammad nawaz khan,2024-09-06
NA-14,sardar muhammad yousaf zaman,2024-09-06
NA-17,ali khan jadoon,2024-09-06
NA-18,omar ayub khan,2024-09-06
NA-21,mujahid ali,2024-09-06
NA-22,muhammad atif,2024-09-06
NA-23,ali muhammad,2024-09-06
NA-24,anwar taj,2024-09-06
NA-26,sajid khan,2024-09-06
NA-28,noor alam khan,2024-09-06
NA-30,shandana gulzar khan,2024-09-06
NA-32,asif khan,2024-09-06
NA-33,syed shah ahad ali shah,2024-09-06
NA-34,zulfiqar ali,2024-09-06
NA-36,yousaf khan,2024-09-06
NA-37,hameed hussain,2024-09-06
NA-38,shahid ahmad,2024-09-06
NA-43,dawar khan kundi,2024-09-06
NA-45,fateh ullah khan,2024-09-06
NA-46,anjum aqeel khan,2024-09-06
NA-47,tariq fazal,2024-09-06
NA-48,raja khurram shahzad nawaz,2024-09-06
NA-49,sheikh aftab ahmed,2024-09-06
NA-53,raja qamar ul islam,2024-09-06
NA-54,aqeel malik,2024-09-06
NA-55,ibrar ahmad,2024-09-06
NA-56,muhammad hanif abbasi,2024-09-06
NA-57,danyal,2024-09-06
NA-58,tahir iqbal,2024-09-06
NA-59,sardar ghulam abbas,2024-09-06
NA-65,chudhary naseer ahmed abbas,2024-09-06
NA-66,mohammed ahmed chattha,2024-09-06
NA-69,nasir iqbal bosal,2024-09-06
NA-70,armghan subhani,2024-09-06
NA-71,khawaja muhammad asif,2024-09-06
NA-72,ali zahid,2024-09-06
NA-74,muhammad aslam ghumman,2024-09-06
NA-75,anwar ul haq,2024-09-06
NA-77,mahmood bashir virk,2024-09-06
NA-79,zulfiqar ahmad,2024-09-06
NA-80,shahid usman,2024-09-06
NA-81,azhar qayyum nahra,2024-09-06
NA-82,mukhtar ahmad malik,2024-09-06
NA-83,usama ahmed mela,2024-09-06
NA-87,malik shakir bashir awan,2024-09-06
NA-88,gul asghar khan,2024-09-06
NA-89,muhammad jamal ahsan khan,2024-09-06
NA-90,umair khan niazi,2024-09-06
NA-91,m. sana ullah khan mastikhel,2024-09-06
NA-93,ghulam muhammad,2024-09-06
NA-97,mohammad saad ullah,2024-09-06
NA-100,nisar ahmed,2024-09-06
NA-102,changaze ahmad khan,2024-09-06
NA-104,sahibzada muhammad hamid raza,2024-09-06
NA-106,m. junaid anwar chaudhry,2024-09-06
NA-109,waqas akram,2024-09-06
NA-111,muhammad arshad sahi,2024-09-06
NA-112,shezra mansab ali khan kharal,2024-09-06
NA-113,ahmad atteeq anwer,2024-09-06
NA-115,khurram shahzad virk,2024-09-06
NA-119,ali pervaiz,2024-09-06
NA-120,sardar ayaz sadiq,2024-09-06
NA-121,waseem qadir,2024-09-06
NA-122,sardar muhammad latif khan khosa,2024-09-06
NA-124,rana mubashir iqbal,2024-09-06
NA-125,muhammad afzal,2024-09-06
NA-128,mohammad awn saqlain,2024-09-06
NA-132,rasheed ahmed khan,2024-09-06
NA-133,azim uddin zahid,2024-09-06
NA-134,rana muhammad hayat khan,2024-09-06
NA-135,nadeem abbas,2024-09-06
NA-138,muhammad mueen wattoo,2024-09-06
NA-139,ahmad raza maneka,2024-09-06
NA-140,rana iradat sharif khan,2024-09-06
NA-141,syed imran ahmad shah,2024-09-06
NA-145,muhammad khan daha,2024-09-06
NA-149,malik muhammad aamir dogar,2024-09-06
NA-151,syed ali musa gilani,2024-09-06
NA-152,syed abdul qadir gilani,2024-09-06
NA-153,rana muhammad qasim noon,2024-09-06
NA-156,ayesha nazir,2024-09-06
NA-157,sajid mehdi,2024-09-06
NA-159,aurangzeb khan khichi,2024-09-06
NA-160,muhammad abdul ghaffar watto,2024-09-06
NA-163,muhammad ijaz ul haq,2024-09-06
NA-164,mian riaz hussain pirzada,2024-09-06
NA-167,muhammad usman awaisi,2024-09-06
