Constituency,Name,Date
NA-2,amjad ali khan,2024-08-09
NA-3,saleem rehman,2024-08-09
NA-4,sohail sultan,2024-08-09
NA-6,muhammad bashir khan,2024-08-09
NA-7,mehboob shah,2024-08-09
NA-8,mubarak zeb,2024-08-09
NA-9,junaid akbar,2024-08-09
NA-10,gohar ali khan,2024-08-09
NA-11,amir muqam,2024-08-09
NA-12,muhammad idrees,2024-08-09
NA-13,muhammad nawaz khan,2024-08-09
NA-14,sardar muhammad yousaf zaman,2024-08-09
NA-15,shahzada muhammad gushtasap khan,2024-08-09
NA-16,ali asghar khan,2024-08-09
NA-17,ali khan jadoon,2024-08-09
NA-18,omar ayub khan,2024-08-09
NA-19,asad qaiser,2024-08-09
NA-20,shahram khan,2024-08-09
NA-22,muhammad atif,2024-08-09
NA-23,ali muhammad,2024-08-09
NA-24,anwar taj,2024-08-09
NA-26,sajid khan,2024-08-09
NA-29,arbab amir ayub,2024-08-09
NA-30,shandana gulzar khan,2024-08-09
NA-31,sher ali arbab,2024-08-09
NA-34,zulfiqar ali,2024-08-09
NA-35,shehryar afridi,2024-08-09
NA-36,yousaf khan,2024-08-09
NA-37,hameed hussain,2024-08-09
NA-38,shahid ahmad,2024-08-09
NA-39,nasim ali shah,2024-08-09
NA-42,zubair khan wazir,2024-08-09
NA-43,dawar khan kundi,2024-08-09
NA-45,fateh ullah khan,2024-08-09
NA-46,anjum aqeel khan,2024-08-09
NA-47,tariq fazal,2024-08-09
NA-48,raja khurram shahzad nawaz,2024-08-09
NA-49,sheikh aftab ahmed,2024-08-09
NA-50,malik sohail khan,2024-08-09
NA-52,raja pervez ashraf,2024-08-09
NA-53,raja qamar ul islam,2024-08-09
NA-57,danyal,2024-08-09
NA-58,tahir iqbal,2024-08-09
NA-60,bilal azhar kayani,2024-08-09
NA-62,mohammad ilyas choudhary,2024-08-09
NA-64,salik hussain,2024-08-09
NA-65,chudhary naseer ahmed abbas,2024-08-09
NA-70,armghan subhani,2024-08-09
NA-71,khawaja muhammad asif,2024-08-09
NA-72,ali zahid,2024-08-09
NA-73,syeda nosheen iftikhar,2024-08-09
NA-74,muhammad aslam ghumman,2024-08-09
NA-75,anwar ul haq,2024-08-09
NA-76,ahsan iqbal,2024-08-09
NA-77,mahmood bashir virk,2024-08-09
NA-80,shahid usman,2024-08-09
NA-84,shafqat abbas,2024-08-09
NA-85,zulfiqar ali bhatti,2024-08-09
NA-87,malik shakir bashir awan,2024-08-09
NA-89,muhammad jamal ahsan khan,2024-08-09
NA-90,umair khan niazi,2024-08-09
NA-91,m. sana ullah khan mastikhel,2024-08-09
NA-92,rashid akbar khan,2024-08-09
NA-93,ghulam muhammad,2024-08-09
NA-95,ali afzal sahi,2024-08-09
NA-96,rai haider ali khan,2024-08-09
NA-100,nisar ahmed,2024-08-09
NA-103,muhammad ali sarfraz,2024-08-09
NA-104,sahibzada muhammad hamid raza,2024-08-09
NA-105,usama hamza,2024-08-09
NA-106,m. junaid anwar chaudhry,2024-08-09
NA-109,waqas akram,2024-08-09
NA-111,muhammad arshad sahi,2024-08-09
NA-115,khurram shahzad virk,2024-08-09
NA-116,khurram munawar manj,2024-08-09
NA-119,ali pervaiz,2024-08-09
NA-120,sardar ayaz sadiq,2024-08-09
NA-121,waseem qadir,2024-08-09
NA-124,rana mubashir iqbal,2024-08-09
NA-125,muhammad afzal,2024-08-09
NA-126,malik saif ul malook khokhar,2024-08-09
NA-132,rasheed ahmed khan,2024-08-09
NA-133,azim uddin zahid,2024-08-09
NA-134,rana muhammad hayat khan,2024-08-09
NA-135,nadeem abbas,2024-08-09
NA-139,ahmad raza maneka,2024-08-09
NA-140,rana iradat sharif khan,2024-08-09
NA-144,muhammad raza hayat harraj,2024-08-09
NA-145,muhammad khan daha,2024-08-09
NA-148,syed ali qasim gillani,2024-08-09
NA-149,malik muhammad aamir dogar,2024-08-09
NA-153,rana muhammad qasim noon,2024-08-09
NA-156,ayesha nazir,2024-08-09
NA-157,sajid mehdi,2024-08-09
NA-159,aurangzeb khan khichi,2024-08-09
NA-160,muhammad abdul ghaffar watto,2024-08-09
NA-164,mian riaz hussain pirzada,2024-08-09
NA-165,tariq bashir cheema,2024-08-09
NA-166,mk syed sami ul hasan gilani,2024-08-09
NA-167,muhammad usman awaisi,2024-08-09
NA-168,malik muhammad iqbal,2024-08-09
NA-174,muhammad azhar khan leghari,2024-08-09
NA-176,nawabzada iftikhar ahmed khan babar,2024-08-09
NA-178,aamir talal khan,2024-08-09
NA-180,fiaz hussain,2024-08-09
NA-183,khawaja sheraz mehmood,2024-08-09
NA-184,abdul qadir khan,2024-08-09
NA-185,zartaj gul,2024-08-09
NA-188,hafeez ur rehman khan drishak,2024-08-09
NA-190,aijaz hussain jakhrani,2024-08-09
NA-193,muhammad shahryar khan mahar,2024-08-09
NA-194,bilawal bhutto zardari,2024-08-09
NA-195,nazir ahmed bhugio,2024-08-09
NA-196,khurshed ahmed junejo,2024-08-09
NA-206,zulfiqar ali behan,2024-08-09
NA-208,syed ghulam mustafa shah,2024-08-09
NA-209,shazia marri,2024-08-09
NA-210,salahuddin junejo,2024-08-09
NA-212,mir munawar ali talpur,2024-08-09
NA-214,pir ameer ali shah jeelani,2024-08-09
NA-215,mahesh kumar malani,2024-08-09
NA-217,zulfiqar bachani,2024-08-09
NA-219,abdul aleem khan,2024-08-09
NA-220,syed waseem hussain,2024-08-09
NA-221,syed naveed qamar,2024-08-09
NA-222,mir ghulam ali talpur,2024-08-09
NA-223,haji rasool bux chandio,2024-08-09
NA-225,sadiq ali memon,2024-08-09
NA-229,jam abdul karim bijar,2024-08-09
NA-230,syed rafiullah,2024-08-09
NA-231,abdul hakeem baloch,2024-08-09
NA-232,aasia ishaque siddiqui,2024-08-09
NA-233,muhammad jawed hanif khan,2024-08-09
NA-234,muhammad moin aamer pirzada,2024-08-09
NA-236,hassaan sabir,2024-08-09
NA-237,asad alam niazi,2024-08-09
NA-239,sardar nabil ahmed gabol,2024-08-09
NA-241,mirza ikhtiar baig,2024-08-09
NA-242,syed mustufa kamal,2024-08-09
NA-245,syed hafeezuddin,2024-08-09
NA-246,syed amin ul haque,2024-08-09
NA-249,ahmed saleem siddiqui,2024-08-09
NA-250,farhan chishti,2024-08-09
NA-254,khalid hussain magsi,2024-08-09
NA-255,mir khan muhammad jamali,2024-08-09
NA-258,pullain,2024-08-09
NA-260,muhammad usman badini,2024-08-09
NA-261,moulana abdul ghafoor haideri,2024-08-09
NA-263,haji jamal shah kakar,2024-08-09
NA-264,nawabzada mir jamal khan raisani,2024-08-09
NA-265,moulana fazl ur rehman,2024-08-09
NA-266,mehmood khan achakzai,2024-08-09
Reserved Seat,tahira aurangzeb,2024-08-09
Reserved Seat,shaista pervaiz,2024-08-09
Reserved Seat,nuzhat sadiq,2024-08-09
Reserved Seat,musarrat asif khawaja,2024-08-09
Reserved Seat,seema mohi ud din jamili,2024-08-09
Reserved Seat,wajiha qamar,2024-08-09
Reserved Seat,zeb jaffar,2024-08-09
Reserved Seat,kiran imran dar,2024-08-09
Reserved Seat,zainab mehmood baloch,2024-08-09
Reserved Seat,asiya naz tanoli,2024-08-09
Reserved Seat,farah naz akbar,2024-08-09
Reserved Seat,shahnaz saleem malik,2024-08-09
Reserved Seat,munaza hassan,2024-08-09
Reserved Seat,sehar kamran,2024-08-09
Reserved Seat,shagufta jumani,2024-08-09
Reserved Seat,shahida rehmani,2024-08-09
Reserved Seat,syeda shehla raza,2024-08-09
Reserved Seat,mahtab akbar rashdi,2024-08-09
Reserved Seat,mussarat rafique mahesar,2024-08-09
Reserved Seat,mahreen razzaq bhutto,2024-08-09
Reserved Seat,shazia sobia aslam soomro,2024-08-09
Reserved Seat,naz baloch,2024-08-09
Reserved Seat,sofia saeed shah,2024-08-09
Reserved Seat,nikhat shakeel khan,2024-08-09
Reserved Seat,sabheen ghoury,2024-08-09
Reserved Seat,rana ansar,2024-08-09
Reserved Seat,shaista khan,2024-08-09
Reserved Seat,shahida begum,2024-08-09
Reserved Seat,kiran haider,2024-08-09
Reserved Seat,akhtar bibi,2024-08-09
Reserved Seat,aliya kamran,2024-08-09
Reserved Seat,kesoo mal kheal das,2024-08-09
