Constituency,Name,Date
NA-2,amjad ali khan,2024-08-05
NA-3,saleem rehman,2024-08-05
NA-4,sohail sultan,2024-08-05
NA-5,sahibzada sibghatullah,2024-08-05
NA-6,muhammad bashir khan,2024-08-05
NA-7,mehboob shah,2024-08-05
NA-9,junaid akbar,2024-08-05
NA-10Mr.,gohar ali khan,2024-08-05
NA-12Mr.,muhammad idrees,2024-08-05
NA-13Mr.,muhammad nawaz khan,2024-08-05
NA-14Sardar,muhammad yousaf zaman,2024-08-05
NA-15Shahzada,muhammad gushtasap khan,2024-08-05
NA-18Mr.,omar ayub khan,2024-08-05
NA-22Mr.,muhammad atif,2024-08-05
NA-23Mr.,ali muhammad,2024-08-05
NA-24Mr.,anwar taj,2024-08-05
NA-26Mr.,sajid khan,2024-08-05
NA-29Mr.,arbab amir ayub,2024-08-05
NA-30Ms.,shandana gulzar khan,2024-08-05
NA-32Mr.,asif khan,2024-08-05
NA-37Mr.,hameed hussain,2024-08-05
NA-38Mr.,shahid ahmad,2024-08-05
NA-39Mr.,nasim ali shah,2024-08-05
NA-41Mr.,sher afzal khan,2024-08-05
NA-42Mr.,zubair khan wazir,2024-08-05
NA-43Mr.,dawar khan kundi,2024-08-05
NA-45Mr.,fateh ullah khan,2024-08-05
NA-46Mr.,anjum aqeel khan,2024-08-05
NA-47Mr.,tariq fazal,2024-08-05
NA-48Raja,khurram shahzad nawaz,2024-08-05
NA-49Sheikh,aftab ahmed,2024-08-05
NA-51Raja,osama sarwar,2024-08-05
NA-52Raja,pervez ashraf,2024-08-05
NA-53Raja,qamar ul islam,2024-08-05
NA-54Mr.,aqeel malik,2024-08-05
NA-55Mr.,ibrar ahmad,2024-08-05
NA-57Mr.,danyal,2024-08-05
NA-58Mr.,tahir iqbal,2024-08-05
NA-59Sardar,ghulam abbas,2024-08-05
NA-60Mr.,bilal azhar kayani,2024-08-05
NA-62Mr.,mohammad ilyas choudhary,2024-08-05
NA-66Mr.,mohammed ahmed chattha,2024-08-05
NA-71Khawaja,muhammad asif,2024-08-05
NA-72Mr.,ali zahid,2024-08-05
NA-73Syeda,nosheen iftikhar,2024-08-05
NA-74Mr.,muhammad aslam ghumman,2024-08-05
NA-75Mr.,anwar ul haq,2024-08-05
NA-77Ch.,mahmood bashir virk,2024-08-05
NA-79Mr.,ihsan ullah virk,2024-08-05
NA-80Mr.,shahid usman,2024-08-05
NA-81Ch.,bilal ejaz,2024-08-05
NA-82Mr.,mukhtar ahmad malik,2024-08-05
NA-84Mr.,shafqat abbas,2024-08-05
NA-85Mr.,zulfiqar ali bhatti,2024-08-05
NA-86Mr.,muhammad miqdad ali khan,2024-08-05
NA-87Malik,shakir bashir awan,2024-08-05
NA-89Mr.,muhammad jamal ahsan khan,2024-08-05
NA-90Mr.,umair khan niazi,2024-08-05
NA-92Mr.,rashid akbar khan,2024-08-05
NA-93Mr.,ghulam muhammad,2024-08-05
NA-94Mr.,qaiser ahmad sheikh,2024-08-05
NA-95Mr.,ali afzal sahi,2024-08-05
NA-96Rai,haider ali khan,2024-08-05
NA-97Mr.,mohammad saad ullah,2024-08-05
NA-100Mr.,nisar ahmed,2024-08-05
NA-101Rana,atif,2024-08-05
NA-102Mr.,changaze ahmad khan,2024-08-05
NA-103Mr.,muhammad ali sarfraz,2024-08-05
NA-104Sahibzada,muhammad hamid raza,2024-08-05
NA-105Mr.,usama hamza,2024-08-05
NA-106Mr.,m. junaid anwar chaudhry,2024-08-05
NA-109Mr.,waqas akram,2024-08-05
NA-111Mr.,muhammad arshad sahi,2024-08-05
NA-112Ms.,shezra mansab ali khan kharal,2024-08-05
NA-115Mr.,khurram shahzad virk,2024-08-05
NA-116Mr.,khurram munawar manj,2024-08-05
NA-120Sardar,ayaz sadiq,2024-08-05
NA-121Mr.,waseem qadir,2024-08-05
NA-122Sardar,muhammad latif khan khosa,2024-08-05
NA-124Rana,mubashir iqbal,2024-08-05
NA-128Mr.,mohammad awn saqlain,2024-08-05
NA-131Mr.,saad waseem,2024-08-05
NA-132Mr.,rasheed ahmed khan,2024-08-05
NA-133Mr.,azim uddin zahid,2024-08-05
NA-134Rana,muhammad hayat khan,2024-08-05
NA-136Mr.,riaz ul haq,2024-08-05
NA-139Mr.,ahmad raza maneka,2024-08-05
NA-142Mr.,usman ali,2024-08-05
NA-143Rai,hassan nawaz khan,2024-08-05
NA-144Mr.,muhammad raza hayat harraj,2024-08-05
NA-145Mr.,muhammad khan daha,2024-08-05
NA-147Choudhary,iftikhar nazir,2024-08-05
NA-148Syed,ali qasim gillani,2024-08-05
