Constituency,Name,Date
NA-1,abdul latif,2024-04-18
NA-2,amjad ali khan,2024-04-18
NA-3,saleem rehman,2024-04-18
NA-4,sohail sultan,2024-04-18
NA-5,sahibzada sibghatullah,2024-04-18
NA-6,muhammad bashir khan,2024-04-18
NA-7,mehboob shah,2024-04-18
NA-9,junaid akbar,2024-04-18
NA-10,barrister gohar ali khan,2024-04-18
NA-11,amir muqam,2024-04-18
NA-12,muhammad ldrees,2024-04-18
NA-13,prince nawaz allai,2024-04-18
NA-14,sardar muhammad yousaf zaman,2024-04-18
NA-15,shahzada muhammad gushtasap khan,2024-04-18
NA-16,ali asghar khan,2024-04-18
NA-17,ali khan jadoon,2024-04-18
NA-18,omar ayub khan,2024-04-18
NA-20,shahram khan tarakai,2024-04-18
NA-21,mujahid ali,2024-04-18
NA-23,ali muhammad khan,2024-04-18
NA-24,malik anwar taj,2024-04-18
NA-25,fazal muhammad khan,2024-04-18
NA-26,sajid khan,2024-04-18
NA-27,muhammad lqbal khan,2024-04-18
NA-28,noor alam khan,2024-04-18
NA-30,ms.shandana gulzar khan,2024-04-18
NA-31,sher ali arbab,2024-04-18
NA-32,asif khan,2024-04-18
NA-33,syed shah ahad ali shah,2024-04-18
NA-34,zulfiqar ali,2024-04-18
NA-36,yousaf khan,2024-04-18
NA-37,hameed hussain,2024-04-18
NA-38,shahid ahmad,2024-04-18
NA-41,sher afzal khan marwat,2024-04-18
NA-42,zubair khan,2024-04-18
NA-45,fateh ullah khan,2024-04-18
NA-46,anjum aqeel khan,2024-04-18
NA-47,dr.tariq fazal,2024-04-18
NA-48,raja khurram shahzad nawaz,2024-04-18
NA-49,sheikh aftab ahmed,2024-04-18
NA-50,malik sohail khan,2024-04-18
NA-52,raja pervez ashraf,2024-04-18
NA-53,qamar ul lslam raja,2024-04-18
NA-54,barrister aqeel malik,2024-04-18
NA-55,lbrar ahmad,2024-04-18
NA-56,muhammad hanif abbasi,2024-04-18
NA-57,danyal,2024-04-18
NA-58,tahir iqbal,2024-04-18
NA-59,sardar ghulam abbas,2024-04-18
NA-60,bilal azhar kayani,2024-04-18
NA-62,mohammad ilyas choudhary,2024-04-18
NA-64,salik hussain,2024-04-18
NA-65,choudhary naseer ahmed abbas,2024-04-18
NA-66,mohammed ahmed chattha,2024-04-18
NA-68,haji lmtiaz ahmed choudhry,2024-04-18
NA-71,khawaja muhammad asif,2024-04-18
NA-72,ali zahid,2024-04-18
NA-73,syeda nosheen lftikhar,2024-04-18
NA-74,muhammad aslam ghumman,2024-04-18
NA-77,mahmood bashir virk,2024-04-18
NA-78,muhammad mobeen arif,2024-04-18
NA-79,lhsan ullah virk,2024-04-18
NA-80,shahid usman,2024-04-18
NA-82,mukhtar ahmad malik,2024-04-18
NA-83,usama ahmed mela,2024-04-18
NA-84,shafqat abbas,2024-04-18
NA-85,zulfiqar ali bhatti,2024-04-18
NA-86,muhammad miqdad ali khan,2024-04-18
NA-87,malik shakir bashir awan,2024-04-18
NA-88,gul asghar khan,2024-04-18
NA-89,muhammad jamal ahsan khan,2024-04-18
NA-90,umair khan niazi,2024-04-18
NA-91,m. sana ullah khan mastikhel,2024-04-18
NA-93,mehar ghulam muhammad lali,2024-04-18
NA-94,qaiser ahmad sheikh,2024-04-18
NA-97,mohammad saad ullah,2024-04-18
NA-98,muhammad shahbaz babar,2024-04-18
NA-100,nisar ahmed,2024-04-18
NA-101,rana atif,2024-04-18
NA-102,changaze ahmad khan,2024-04-18
NA-103,muhammad ali sarfraz,2024-04-18
NA-105,usama hamza,2024-04-18
NA-106,m. junaid anwar,2024-04-18
NA-112,shezra mansab ali khan kharal,2024-04-18
NA-115,khurram shahzad virk,2024-04-18
NA-116,khurram munawar manj,2024-04-18
NA-120,sardar ayaz sadiq,2024-04-18
NA-121,waseem qadir,2024-04-18
NA-122,sardar muhammad latif khan khosa,2024-04-18
NA-123,mian muhammad shehbaz sharif,2024-04-18
NA-125,muhammad afzal,2024-04-18
NA-126,malik saif ul malook khokhar,2024-04-18
NA-127,attaullah tarar,2024-04-18
NA-128,mohammad awn saqlain,2024-04-18
NA-133,azim uddin zahid,2024-04-18
NA-134,rana muhammad hayat khan,2024-04-18
NA-135,nadeem abbas,2024-04-18
NA-137,syed raza ali gillani,2024-04-18
NA-139,ahmad raza maneka,2024-04-18
NA-141,syed lmran ahmad shah,2024-04-18
NA-143,rai hassan nawaz khan,2024-04-18
NA-145,muhammad khan daha,2024-04-18
