Constituency,Name,Date
NA-1,abdul latif,2024-08-27
NA-2,amjad ali khan,2024-08-27
NA-3,saleem rehman,2024-08-27
NA-4,sohail sultan,2024-08-27
NA-5,sahibzada sibghatullah,2024-08-27
NA-6,muhammad bashir khan,2024-08-27
NA-7,mehboob shah,2024-08-27
NA-8,mubarak zeb,2024-08-27
NA-9,junaid akbar,2024-08-27
NA-10,gohar ali khan,2024-08-27
NA-11,amir muqam,2024-08-27
NA-13,muhammad nawaz khan,2024-08-27
NA-14,sardar muhammad yousaf zaman,2024-08-27
NA-15,shahzada muhammad gushtasap khan,2024-08-27
NA-17,ali khan jadoon,2024-08-27
NA-18,omar ayub khan,2024-08-27
NA-20,shahram khan,2024-08-27
NA-23,ali muhammad,2024-08-27
NA-26,sajid khan,2024-08-27
NA-27,muhammad iqbal khan (NA-27),2024-08-27
NA-28,noor alam khan,2024-08-27
NA-31,sher ali arbab,2024-08-27
NA-32,asif khan,2024-08-27
NA-37,hameed hussain,2024-08-27
NA-39,nasim ali shah,2024-08-27
NA-40,misbah uddin,2024-08-27
NA-43,dawar khan kundi,2024-08-27
NA-45,fateh ullah khan,2024-08-27
NA-46,anjum aqeel khan,2024-08-27
NA-47,tariq fazal,2024-08-27
NA-48,raja khurram shahzad nawaz,2024-08-27
NA-49,sheikh aftab ahmed,2024-08-27
NA-50,malik sohail khan,2024-08-27
NA-52,raja pervez ashraf,2024-08-27
NA-53,raja qamar ul islam,2024-08-27
NA-54,aqeel malik,2024-08-27
NA-55,ibrar ahmad,2024-08-27
NA-56,muhammad hanif abbasi,2024-08-27
NA-57,danyal,2024-08-27
NA-58,tahir iqbal,2024-08-27
NA-59,sardar ghulam abbas,2024-08-27
NA-65,chudhary naseer ahmed abbas,2024-08-27
NA-68,haji imtiaz ahmed choudhry,2024-08-27
NA-70,armghan subhani,2024-08-27
NA-71,khawaja muhammad asif,2024-08-27
NA-72,ali zahid,2024-08-27
NA-74,muhammad aslam ghumman,2024-08-27
NA-75,anwar ul haq,2024-08-27
NA-76,ahsan iqbal,2024-08-27
NA-77,mahmood bashir virk,2024-08-27
NA-82,mukhtar ahmad malik,2024-08-27
NA-84,shafqat abbas,2024-08-27
NA-85,zulfiqar ali bhatti,2024-08-27
NA-87,malik shakir bashir awan,2024-08-27
NA-90,umair khan niazi,2024-08-27
NA-91,m. sana ullah khan mastikhel,2024-08-27
NA-94,qaiser ahmad sheikh,2024-08-27
NA-97,mohammad saad ullah,2024-08-27
NA-98,muhammad shahbaz babar,2024-08-27
NA-100,nisar ahmed,2024-08-27
NA-101,rana atif,2024-08-27
NA-102,changaze ahmad khan,2024-08-27
NA-104,sahibzada muhammad hamid raza,2024-08-27
NA-105,usama hamza,2024-08-27
NA-106,m. junaid anwar chaudhry,2024-08-27
NA-111,muhammad arshad sahi,2024-08-27
NA-119,ali pervaiz,2024-08-27
