Constituency,Name,Date
NA-1,abdul latif,2024-04-24
NA-2,amjad ali khan,2024-04-24
NA-3,saleem rehman,2024-04-24
NA-4,sohail sultan,2024-04-24
NA-5,sahibzada sibghatullah,2024-04-24
NA-6,muhammad bashir khan,2024-04-24
NA-7,mehboob shah,2024-04-24
NA-10,barrister gohar ali khan,2024-04-24
NA-11,amir muqam,2024-04-24
NA-12,muhammad ldrees,2024-04-24
NA-13,prince nawaz allai,2024-04-24
NA-14,sardar muhammad yousaf zaman,2024-04-24
NA-15,shahzada muhammad gushtasap khan,2024-04-24
NA-17,ali khan jadoon,2024-04-24
NA-18,omar ayub khan,2024-04-24
NA-20,shahram khan tarakai,2024-04-24
NA-21,mujahid ali,2024-04-24
NA-23,ali muhammad khan,2024-04-24
NA-24,malik anwar taj,2024-04-24
NA-26,sajid khan,2024-04-24
NA-27,muhammad lqbal khan,2024-04-24
NA-28,noor alam khan,2024-04-24
NA-30,shandana gulzar khan,2024-04-24
NA-32,asif khan,2024-04-24
NA-33,syed shah ahad ali shah,2024-04-24
NA-34,zulfiqar ali,2024-04-24
NA-35,shehryar khan afridi,2024-04-24
NA-36,yousaf khan,2024-04-24
NA-37,hameed hussain,2024-04-24
NA-38,shahid ahmad,2024-04-24
NA-39,moulana nasim ali shah,2024-04-24
NA-40,misbah ud din,2024-04-24
NA-41,sher afzal khan marwat,2024-04-24
NA-43,dawar khan kundi,2024-04-24
NA-45,fateh ullah khan,2024-04-24
NA-46,anjum aqeel khan,2024-04-24
NA-47,dr.tariq fazal,2024-04-24
NA-48,raja khurram shahzad nawaz,2024-04-24
NA-49,sheikh aftab ahmed,2024-04-24
NA-51,raja osama sarwar,2024-04-24
NA-52,raja pervez ashraf,2024-04-24
NA-53,qamar ul lslam raja,2024-04-24
NA-54,barrister aqeel malik,2024-04-24
NA-57,danyal,2024-04-24
NA-58,tahir iqbal,2024-04-24
NA-59,sardar ghulam abbas,2024-04-24
NA-60,bilal azhar kayani,2024-04-24
NA-61,farrukh altaf,2024-04-24
NA-62,mohammad ilyas choudhary,2024-04-24
NA-67,aniqa mehdi,2024-04-24
NA-68,haji lmtiaz ahmed choudhry,2024-04-24
NA-69,nasir lqbal bosal,2024-04-24
NA-71,khawaja muhammad asif,2024-04-24
NA-72,ali zahid,2024-04-24
NA-73,syeda nosheen lftikhar,2024-04-24
NA-74,muhammad aslam ghumman,2024-04-24
NA-75,anwar ul haq,2024-04-24
NA-78,muhammad mobeen arif,2024-04-24
NA-79,lhsan ullah virk,2024-04-24
NA-80,shahid usman,2024-04-24
NA-82,mukhtar ahmad malik,2024-04-24
NA-83,usama ahmed mela,2024-04-24
NA-85,zulfiqar ali bhatti,2024-04-24
NA-86,muhammad miqdad ali khan,2024-04-24
NA-87,malik shakir bashir awan,2024-04-24
NA-88,gul asghar khan,2024-04-24
NA-89,muhammad jamal ahsan khan,2024-04-24
NA-90,umair khan niazi,2024-04-24
NA-91,m. sana ullah khan mastikhel,2024-04-24
NA-93,mehar ghulam muhammad lali,2024-04-24
NA-95,ali afzal sahi,2024-04-24
NA-100,nisar ahmed,2024-04-24
NA-104,sahibzada muhammad hamid raza,2024-04-24
NA-105,usama hamza,2024-04-24
NA-106,m. junaid anwar chaudhry,2024-04-24
NA-107,riaz khan fatyana,2024-04-24
NA-108,muhammad mehboob sultan,2024-04-24
NA-109,waqas akram,2024-04-24
NA-110,muhammad ameer sultan,2024-04-24
NA-112,shezra mansab ali khan kharal,2024-04-24
NA-113,ahmad atteeq anwer,2024-04-24
NA-114,rana tanveer hussain,2024-04-24
NA-115,khurram shahzad virk,2024-04-24
NA-116,khurram munawar manj,2024-04-24
NA-120,sardar ayaz sadiq,2024-04-24
NA-121,waseem qadir,2024-04-24
NA-122,sardar muhammad latif khan khosa,2024-04-24
NA-125,muhammad afzal,2024-04-24
NA-126,malik saif ul malook khokhar,2024-04-24
NA-133,azim uddin zahid,2024-04-24
NA-134,rana muhammad hayat khan,2024-04-24
NA-137,syed raza ali gillani,2024-04-24
NA-138,muhammad mueen wattoo,2024-04-24
NA-139,ahmad raza maneka,2024-04-24
NA-140,rana lradat sharif khan,2024-04-24
NA-144,muhammad raza hayat harraj,2024-04-24
NA-145,muhammad khan daha,2024-04-24
NA-146,zahoor hussain qureshi,2024-04-24
NA-149,malik muhammad aamir dogar,2024-04-24
NA-150,makhdoom zain hussain qureshi,2024-04-24
NA-153,rana muhammad qasim noon,2024-04-24
NA-156,ayesha nazir jatt,2024-04-24
NA-157,sajid mehdi,2024-04-24
NA-158,begum tehmina daultana,2024-04-24
NA-163,muhammad ljaz ul haq,2024-04-24
NA-165,tariq bashir cheema,2024-04-24
NA-170,mian ghous muhammad,2024-04-24
NA-171,mumtaz mustafa,2024-04-24
NA-172,javaid lqbal waraich,2024-04-24
NA-175,jamshaid ahmad,2024-04-24
